Id,Price
4567,165537.78376281177
5925,117960.98578382094
960,148108.60137516636
3848,97708.81200530157
746,206682.55036696812
868,305395.2104555881
672,124126.62907897835
2471,199891.94751290308
4510,123768.37782282184
8354,243363.50631323058
6393,168957.28198173764
13270,227141.802288305
5250,313102.09482987743
16751,172690.23263783447
11404,131858.49520433447
10588,353406.4994591216
14925,196034.01195879193
6791,199868.6765035123
16097,183911.6195222165
16428,353905.919512663
6945,333771.4846407073
3190,182161.9560515282
15709,433224.7049187369
13155,160290.0171021808
7675,199535.64031166688
14686,240531.87419961847
609,158675.02930654702
11155,167913.5273835867
10869,221306.93861209264
15742,187328.07711977715
9245,191518.60263637314
3340,167090.3821062438
2359,279542.49537921627
8070,190741.40918466385
13707,128141.77870388384
16079,253260.56467367164
15937,264798.4463797169
14090,169673.86891046847
9008,207398.60486033215
16384,167170.19480809759
11657,230100.7820085884
13151,145215.32659643507
8990,151268.00153442766
11857,186822.65330074946
1565,158457.11325209416
8174,109863.85138988767
9247,246537.18869244168
10478,211594.1014530359
15509,144141.73569140106
8306,268575.2320415988
6642,176361.55046324016
7472,209158.9540082415
15989,131233.8440388614
13682,138564.33160584245
163,296379.3785011317
7076,195663.8131689506
7478,342970.2528679755
3029,186981.02844588083
1814,141631.4601842085
10057,128926.81826754253
15100,201194.82768059598
12694,217547.18082460223
6291,179059.45111450873
12603,193696.0476685129
3218,227441.90003879005
13456,128038.98422078621
10170,238463.24074189513
4530,161192.4511163514
13329,166965.94879669306
4820,152632.47737525028
10896,173319.4175904435
13416,115837.69434076842
2701,210655.16948418252
11265,353568.0918013455
9189,265738.47537876887
1858,170986.35381025125
14536,239612.54449514917
6199,289749.6852806119
14730,156243.32346514444
7510,246816.29736264382
15505,165997.09957974203
7446,182794.95552654896
14016,205817.5913897782
14113,112978.30073148514
8721,302017.61777764204
6193,332579.2818486011
5717,178099.4813107726
5427,299116.88222241047
9520,487991.71496736805
6869,103803.43551268084
1658,157889.2516580978
6639,222834.05897719154
6283,187083.4222206031
6257,128639.99218692913
15235,178607.17661346064
902,206121.42529297483
8932,186231.5875279419
16469,308401.4530475994
2825,287793.4637612313
6450,446558.5758610712
11366,179364.58474471472
3801,365746.3343187153
11385,208755.16967796642
1079,193384.69551201243
3202,246540.00607433185
676,233593.53461956102
6185,286878.2961831157
7730,165775.12087650053
2573,184329.30306321554
10978,204402.28976798503
10962,253048.37540450686
8870,208438.33880409895
8496,172408.22519224277
5517,157551.69792281365
927,177706.63055466273
13675,187845.77319749515
1499,225869.41505943757
15536,330295.85170430236
8602,350819.28999170545
12137,459217.9470518489
9865,251259.58505801624
16353,288501.3284194433
15908,210768.79623511384
3944,185473.91492126824
10359,197392.0404173788
15158,213345.22819767427
3259,242438.7249220733
7220,328037.4825184298
13843,207152.28312827274
16736,182433.0089120099
702,248226.6685077986
16401,137621.43211770608
12134,184897.90638535836
6918,209425.28383982056
11792,132152.6883153155
3798,149149.14953682
10395,135795.89112814222
11099,137174.41964929027
7090,202969.26425731136
11260,190018.4813188655
9647,214865.08388186764
2903,402897.3043731822
2071,187673.6717680787
8604,192645.98882869445
9346,222921.29669804135
3945,201012.3363619889
3420,128250.16267908402
10842,127581.94322701135
725,160125.8563722855
13931,199242.70230665928
16330,241329.54643763308
9066,400014.42830577755
3326,307571.55503452494
1556,260701.5476555796
6579,101913.31519666455
13877,154279.4194266965
9857,324499.2185040486
7302,265824.5629936952
5684,187602.6698970138
6513,231357.3661733937
11342,114649.63680009755
16561,239299.72067402097
6885,175331.81387676642
9308,175613.76263390004
2559,199333.70887141163
6648,180581.26920278455
15260,159218.23065866533
5113,185843.664622545
16492,182601.36257674775
12034,277719.81202448066
7248,223308.3995311454
2171,202662.5567709347
10594,156915.09540355825
13241,199521.2166340151
7032,137330.19347369083
4884,163875.99028976716
903,197290.7430249788
162,169579.62313226517
6566,280698.8895684169
8249,131227.15899274324
13106,170851.96865513286
256,129075.31543741681
7976,167825.47055199594
8575,172271.17550421553
7591,287770.6140161365
3204,219746.15399650452
15804,187602.5793026762
1525,314957.9591645044
9038,204402.28976798503
13628,193121.15818946718
10016,191001.69080587296
10208,221095.30450763958
2008,193730.47677757518
13029,197066.8614853524
5099,128938.23914723005
9923,305056.18051473435
9461,117931.65128908645
11086,169701.4284229163
15057,284295.2733707747
10689,184768.0036856545
2053,215428.93465809984
16630,163409.11279498413
4985,163336.4097440462
13881,271421.5845975297
13225,181480.05686960925
5779,70173.55568685078
10262,186475.1992216143
10762,218286.45084783758
9513,194119.0894512476
11128,172539.86911062978
2074,299002.09082927665
933,197985.12057764168
2780,185686.22841855703
6594,119557.57434979406
15394,284711.5688815343
14863,148422.22762050678
